Time,Qin,Qout,Level
28500.0,14.502,15.092,50.0
28560.0,14.502,15.092,50.0
28620.0,14.375,15.092,50.0
28680.0,14.248,15.85,50.0
28740.0,14.12,15.85,50.0
28800.0,14.12,15.85,50.0
28860.0,13.993,15.85,50.0
28920.0,14.63,15.85,50.0
28980.0,14.375,16.716,50.0
29040.0,14.248,16.716,49.9
29100.0,14.248,16.716,49.9
29160.0,14.248,16.716,49.9
29220.0,14.12,16.716,49.9
29280.0,15.011,18.246,49.9
29340.0,15.011,18.246,49.9
29400.0,14.757,18.246,49.9
29460.0,14.757,18.246,49.9
29520.0,15.521,18.246,49.9
29580.0,15.775,17.632,49.9
29640.0,15.775,17.632,49.9
29700.0,15.775,17.632,49.9
29760.0,16.539,17.632,49.9
29820.0,16.666,17.286,49.9
29880.0,16.666,17.286,49.9
29940.0,16.412,17.286,49.9
30000.0,16.793,17.286,49.9
30060.0,17.048,17.286,49.9
30120.0,17.175,16.808,49.9
30180.0,17.175,16.808,49.9
30240.0,17.303,16.808,49.9
30300.0,17.43,16.808,49.9
30360.0,17.684,16.808,49.9
30420.0,17.684,16.281,49.9
30480.0,17.812,16.281,49.9
30540.0,18.066,16.281,49.9
30600.0,18.194,16.281,49.9
30660.0,17.939,16.281,49.9
30720.0,18.066,16.054,49.9
30780.0,17.812,16.054,49.9
30840.0,17.812,16.054,49.9
30900.0,17.939,16.054,49.9
30960.0,18.066,16.054,49.9
31020.0,18.194,16.138,49.9
31080.0,18.194,16.138,49.9
31140.0,17.939,16.138,49.9
31200.0,17.557,16.138,49.9
31260.0,17.684,17.14,49.9
31320.0,17.812,17.14,49.9
31380.0,17.812,17.14,49.9
31440.0,17.684,17.14,49.9
31500.0,17.812,17.14,49.9
31560.0,17.939,17.134,49.9
31620.0,17.812,17.134,49.9
31680.0,17.939,17.134,49.9
31740.0,17.939,17.134,49.9
31800.0,17.939,17.134,50.0
31860.0,17.939,16.813,50.0
31920.0,17.175,16.813,50.0
31980.0,16.921,16.813,50.0
32040.0,17.175,16.813,50.0
32100.0,17.048,16.813,50.0
32160.0,17.048,17.132,50.0
32220.0,16.921,17.132,50.0
32280.0,16.921,17.132,50.0
32340.0,17.048,17.132,50.0
32400.0,16.793,17.132,50.0
32460.0,16.793,17.598,50.0
32520.0,16.793,17.598,50.0
32580.0,16.793,17.598,49.9
32640.0,16.666,17.598,49.9
32700.0,16.539,17.642,49.9
32760.0,16.539,17.642,49.9
32820.0,16.412,17.642,49.9
32880.0,16.793,17.642,49.9
32940.0,17.557,17.642,49.9
33000.0,17.557,16.516,49.9
33060.0,17.303,16.516,49.9
33120.0,17.175,16.516,49.9
33180.0,17.175,16.516,49.9
33240.0,17.303,16.516,49.9
33300.0,17.303,16.157,49.9
33360.0,17.303,16.157,50.0
33420.0,16.666,16.157,50.0
33480.0,16.284,16.157,50.0
33540.0,16.412,16.157,50.0
33600.0,16.412,16.719,50.0
33660.0,16.412,16.719,50.0
33720.0,16.412,16.719,50.0
33780.0,16.284,16.719,49.9
33840.0,16.157,16.719,49.9
33900.0,16.157,15.817,49.9
33960.0,16.03,15.817,49.9
34020.0,16.03,15.817,50.0
34080.0,16.03,15.817,50.0
34140.0,15.902,14.774,50.0
34200.0,15.902,14.774,50.0
34260.0,15.902,14.774,50.0
34320.0,15.648,14.774,50.0
34380.0,15.648,14.774,50.0
34440.0,15.648,14.663,50.0
34500.0,15.393,14.663,50.0
34560.0,15.521,14.663,50.0
34620.0,15.393,14.663,50.0
34680.0,15.393,14.663,50.0
34740.0,15.266,15.404,50.0
34800.0,15.266,15.404,50.0
34860.0,15.266,15.404,50.0
34920.0,15.266,15.404,50.0
34980.0,15.139,15.404,50.0
35040.0,15.139,16.384,50.0
35100.0,15.011,16.384,50.0
35160.0,14.884,16.384,50.0
35220.0,14.884,16.384,50.0
35280.0,14.757,16.384,50.0
35340.0,14.757,15.265,50.0
35400.0,14.757,15.265,50.0
35460.0,14.63,15.265,49.9
35520.0,14.63,15.265,49.9
35580.0,14.375,13.962,49.9
35640.0,14.375,13.962,50.0
35700.0,14.375,13.962,50.0
35760.0,14.375,13.962,50.0
35820.0,14.248,13.962,50.0
35880.0,14.248,15.067,50.0
35940.0,13.993,15.067,49.9
36000.0,13.993,15.067,49.9
36060.0,13.866,15.067,49.9
36120.0,13.866,15.067,49.9
36180.0,14.12,16.162,49.9
36240.0,14.884,16.162,49.9
36300.0,14.757,16.162,49.9
36360.0,14.502,16.162,49.9
36420.0,14.502,16.162,49.9
36480.0,14.63,15.969,49.9
36540.0,14.63,15.969,49.9
36600.0,14.63,15.969,49.9
36660.0,14.884,15.969,49.9
36720.0,15.393,15.969,49.9
36780.0,15.521,14.645,49.9
36840.0,15.393,14.645,49.9
36900.0,15.266,14.645,49.9
36960.0,15.393,14.645,49.9
37020.0,15.393,13.908,49.9
37080.0,15.393,13.908,49.9
37140.0,15.648,13.908,49.9
37200.0,15.139,13.908,49.9
37260.0,14.884,13.908,49.9
37320.0,14.757,14.549,49.9
37380.0,15.139,14.549,49.9
37440.0,15.139,14.549,49.9
37500.0,15.139,14.549,49.9
37560.0,15.139,14.549,49.9
37620.0,15.139,13.686,49.9
37680.0,15.139,13.686,49.9
37740.0,15.139,13.686,49.9
37800.0,15.139,13.686,50.0
37860.0,14.884,13.686,50.0
37920.0,14.63,13.087,50.0
37980.0,14.248,13.087,50.0
38040.0,14.12,13.087,50.0
38100.0,14.12,13.087,50.0
38160.0,14.375,13.087,50.0
38220.0,14.248,12.809,50.0
38280.0,13.993,12.809,50.0
38340.0,13.993,12.809,50.0
